Year,Annual_AllPrecip,Winter_AllPrecip,Spring_AllPrecip,Summer_AllPrecip,Autumn_AllPrecip
1840,NaN,NaN,NaN,351.5,NaN
1841,NaN,NaN,NaN,424.7,NaN
1842,NaN,NaN,NaN,302.3,NaN
1843,NaN,NaN,NaN,377.9,NaN
1844,NaN,NaN,NaN,NaN,NaN
1845,NaN,NaN,NaN,221,NaN
1846,NaN,NaN,220,180.4,NaN
1847,1041.4,NaN,187.1,224.1,389.2
1848,NaN,NaN,NaN,129.1,191.5
1849,1018.9,257.3,268.5,280.9,284.1
1850,1006.8,215.7,204.6,354.2,187.6
1851,866.3,239.6,201.1,213.7,246.9
1852,1188.4,242.1,266.4,270.2,301.7
1853,831.1,274.7,253.9,142.8,243
1854,940,248.2,286.1,186.6,231.8
1855,1192.7,283.7,233.8,244.5,362.1
1856,811.5,221,255.2,167.9,209.5
1857,1154.7,295.8,250.9,378.9,216.2
1858,926.8,247.2,249,272.2,193.4
1859,1127.6,215.1,283.1,293.1,269.6
1860,807.3,295.7,124.2,272.7,180.6
1861,995.2,286.5,244.6,221.8,285.7
1862,983.2,210.4,232.4,270.9,221.9
1863,940.7,295.4,214.5,204.6,207.4
1864,1057.5,263.3,281.8,192.4,281.4
1865,938.8,280.4,368.8,177.8,190.3
1866,1095,190.8,224.95,287.6,282.6
1867,835.2,265.775,257.175,153.125,153
1868,917.625,256.65000000000003,263.875,187.05,250.5
1869,1022.9333333333333,236,218.33333333333334,321.6,267.925
1870,1168.925,362.1,269.34,321.18333333333334,300.45
1871,916.2,250.46,244.63333333333333,201.5,194.12857142857143
1872,1113.8555555555556,214.61428571428573,240.46363636363637,252.34166666666667,313.09999999999997
1873,1133.9888888888888,349.2285714285714,278.01428571428573,231.54666666666665,334.89285714285717
1874,1204.625,337.28181818181815,291.74666666666667,266.4625,225.50666666666666
1875,1193.7214285714285,373.6357142857143,241.55,251.04375,324.78
1876,1197.28125,331.96,290.68823529411765,257.4315789473684,275.93157894736845
1877,1104.0625,275.2,291.41,237,293.3681818181818
1878,1241.4947368421053,234.085,299.75,281.4318181818182,322.34285714285716
1879,1139.9850000000001,330.765,230.26190476190476,291.8565217391304,282.0782608695652
1880,1135.259090909091,334.2227272727273,266.7695652173913,245.52173913043478,319.544
1881,1037.682608695652,271.6583333333333,218.18,243.775,265.764
1882,1093.0136363636364,328.1875,248.1625,280.5541666666667,249.35833333333332
1883,1046.286956521739,294.0652173913044,255.4148148148148,267.221875,251.60333333333332
1884,1110.9166666666667,321.13448275862066,241.9181818181818,260.25428571428574,247.64857142857144
1885,1037.0617647058823,308.6454545454545,233.7764705882353,269.5861111111111,254.9027027027027
1886,933.3866666666667,332.12857142857143,213.3294117647059,212.42105263157896,235.80857142857144
1887,960.7666666666667,326.01176470588234,191.16969696969696,215.0457142857143,205.69722222222222
1888,991.7645161290322,275.18387096774194,197.56470588235294,267.43157894736845,279.91621621621624
1889,920.8121212121212,270.8722222222222,184.61621621621623,222.1891891891892,219.20555555555555
1890,1042.2342105263158,274.89166666666665,236.88372093023256,283.2627906976744,242.1046511627907
1891,944.0026315789473,274.48,187.77954545454546,289.0883720930233,242.58863636363637
1892,997.4666666666667,253.1575,210.84772727272727,324.49333333333334,241.12558139534883
1893,1043.827027027027,249.195,216.5975,265.14772727272725,230.01590909090908
1894,891.5263157894736,296.75384615384615,227.72826086956522,173.98510638297873,245.9909090909091
1895,878.1512195121951,238.7093023255814,175.5659574468085,223.99591836734695,231.93125
1896,989.5688888888889,264.12083333333334,215.478431372549,228.62075471698114,267.4423076923077
1897,939.2872340425532,222.93673469387755,240.7764705882353,277.6241379310345,211.39285714285714
1898,976.6584905660377,276.47222222222223,179.76833333333335,226.6328125,278.96166666666664
1899,987.06,240.77241379310345,219.39508196721312,231.3265625,235.15322580645162
1900,965.74,276.0762711864407,216.90153846153845,248.7722222222222,267.02028985507246
1901,870.4683333333334,207.91940298507464,202.0014705882353,224.51714285714286,207.21304347826086
1902,919.5693548387097,228.55671641791045,228.5176470588235,261.2078947368421,206.38513513513513
1903,882.7316666666667,241.45857142857142,196.54714285714286,246.65694444444443,229.66756756756757
1904,840.9014285714286,230.4972972972973,211.726582278481,209.95555555555555,203.3935064935065
1905,802.1333333333333,209.88918918918918,159.95205479452054,221.785,209.48101265822785
1906,866.8923076923077,184.75571428571428,202.83157894736843,217.0741176470588,246.11219512195123
1907,812.5661764705883,217.4,167.02875,222.3,209.41184210526316
1908,774.3380281690141,220.17260273972602,197.22820512820513,213.89767441860465,151.5487804878049
1909,830.2265060240964,200.02,194.3088888888889,217.38659793814432,220.59255319148937
1910,826.4120481927711,207.64505494505494,165.5483870967742,201.7695238095238,225.97238095238095
1911,799.7341176470588,201.38279569892472,164.14803921568628,217.46785714285716,220.66190476190476
1912,874.0333333333333,201.01568627450982,170.2111111111111,238.7939655172414,218.14655172413794
1913,821.2378378378378,213.34017857142857,176.17016129032257,220.2231343283582,227.90833333333333
1914,784.1422764227642,189.94227642276422,162.655,180.32341772151898,232.65723684210525
1915,803.8282608695653,159.78620689655173,156.35133333333334,223.75470588235294,206.5829411764706
1916,822.0238410596027,224.70891719745222,200.96531791907515,217.12328042328042,205.79285714285714
1917,839.5927631578948,204.9691011235955,175.81242937853108,220.34188481675392,201.78268156424582
1918,828.0740740740741,249.55625,146.58324324324323,213.85671641791046,228.82804232804233
1919,820.0104938271605,204.02960893854748,194.05425531914892,185.0892156862745,226.1625
1920,828.2184971098266,189.8054347826087,181.14166666666668,207.00194174757283,203.3572864321608
1921,823.8461988304093,209.52251308900523,177.72953367875647,190.41244019138756,246.4643216080402
1922,751.2460227272727,170.953,171.55196078431374,209.3190909090909,177.322009569378
1923,802.011229946524,203.50245098039215,188.01348837209304,228.295067264574,177.17096774193547
1924,807.1995169082126,232.2147465437788,153.44151785714286,206.76528925619834,211.60334728033473
1925,808.376923076923,226.3,162.1638655462185,200.69159663865545,213.84618644067797
1926,835.2714285714286,212.9330396475771,166.39875,200.00208333333333,248.38702928870293
1927,921.9534246575342,215.2482905982906,188.77692307692308,229.60396825396825,278.14303278688527
1928,844.8522842639594,216.34587155963303,184.3857142857143,223.36706827309237,209.02456140350878
1929,776.1177272727273,175.5891774891775,201.02782258064516,171.31800766283524,182.05140562248997
1930,754.5081818181818,216.34798387096774,167.8418972332016,194.53984375,185.12897959183672
1931,830.5884955752213,195.02333333333334,159.69251968503937,200.48108108108107,232.5174418604651
1932,944.4086776859505,239.2407114624506,189.22239382239383,228.22166064981948,261.102962962963
1933,921.4298850574712,213.4402985074627,192.06438848920862,177.29024390243902,286.45142857142855
1934,862.3291828793774,259.29558823529413,171.684,188.36631944444446,243.71398601398602
1935,863.409375,269.2216606498195,151.55516014234877,234.0014184397163,210.61328671328673
1936,865.1330855018588,215.43816254416961,207.67482517482517,194.4810996563574,210.32464788732395
1937,906.2747211895911,242.64664310954063,177.70655172413794,218.05397350993377,252.36655405405406
1938,848.2218637992831,230.3070945945946,178.08847457627118,208.0058631921824,208.2026402640264
1939,941.68256227758,269.90660066006603,186.3078431372549,221.49458598726113,241.2156862745098
1940,889.3951048951049,228.79638157894738,211.19967741935483,198.33714285714285,245.62339743589743
1941,914.1353535353535,226.68993506493507,175.10689655172413,221.36739130434782,284.32120253164555
1942,894.374827586207,204.43301282051283,196.1751572327044,223.25151515151515,241.94106583072102
1943,831.1828382838283,223.9141955835962,203.72538699690404,241.66053412462907,199.81337386018237
1944,833.8467320261437,176.59051987767583,167.14059701492536,225.05014492753622,240.14067278287462
1945,922.3709150326797,220.95196374622356,211.29970501474926,189.5941348973607,273.1601796407186
1946,848.3089700996678,243.0468656716418,173.92222222222222,195.18662790697675,214.43982300884954
1947,902.5189189189189,263.53639143730885,188.14714714714714,228.52,222.237125748503
1948,872.2567656765676,234.72291021671828,204.03519061583577,220.88422535211268,220.3156976744186
1949,841.695873015873,210.65878962536024,174.674,197.67222222222222,234.41232091690546
1950,895.2336601307189,246.75742857142856,180.18985507246376,214.03218390804597,233.62670454545454
1951,889.5278145695364,257.5691428571429,187.3536443148688,214.03725490196078,237.83651685393258
1952,804.6588957055214,247.75658263305323,168.3564245810056,231.2787061994609,165.2621546961326
1953,914.7189873417722,241.9189504373178,200.1307042253521,222.5963888888889,223.2550135501355
1954,967.7251633986928,274.27085714285715,182.4721590909091,255.30493150684933,259.2264623955432
1955,826.8562310030395,220.82338028169013,196.6972602739726,199.76756032171582,243.65479452054794
1956,852.5035608308606,222.25041782729804,172.55054347826086,228.44274193548387,202.6745989304813
1957,800.7673590504451,211.01307901907356,149.0824,226.71181102362203,214.96325459317586
1958,864.9930930930931,252.0663101604278,143.2505291005291,210.17345360824743,251.61853785900783
1959,883.9176308539945,220.92239583333333,180.660411311054,225.6395,273.13865979381444
1960,824.9424501424502,232.73641025641027,194.98146214099216,191.7340206185567,212.50175879396986
1961,861.1719402985075,229.12303664921467,188.37572559366754,184.1559493670886,229.60257731958762
1962,901.7274691358025,221.928418230563,170.72410256410257,237.30077319587627,249.87520215633424
1963,862.5464615384616,225.558310626703,168.30794520547946,236.88086734693877,241.07364341085272
1964,888.8625368731564,242.8184,193.53403693931398,241.95357142857142,214.01360201511335
1965,841.9947229551451,256.807881773399,136.0748743718593,206.11928571428572,247.1389423076923
1966,874.3330845771144,220.33349397590362,162.69166666666666,221.84004739336493,239.77264150943395
1967,878.7522167487684,268.4750588235294,172.32273781902552,184.575,260.296018735363
1968,909.0559902200489,240.79280742459397,178.73723653395786,231.05601851851853,256.65990675990673
1969,852.410576923077,226.4506880733945,175.43718244803696,214.01552511415525,243.43133640552995
1970,834.9048309178744,196.2554524361949,184.8875,219.59345372460496,231.48405466970388
1971,917.1816867469879,262.94288990825686,188.04233409610984,225.3890868596882,240.40846681922196
1972,941.5889975550123,250.49930394431556,208.98970251716247,230.35646258503402,228.4312925170068
1973,888.3460093896714,243.79113636363635,183.9473804100228,237.23272727272726,232.710407239819
1974,909.8558752997602,268.4138321995465,234.6400457665904,206.3052036199095,214.32330316742082
1975,907.9022004889976,230.27742663656886,177.65366972477065,222.42420814479638,258.1652873563218
1976,907.3067839195979,270.8511574074074,197.9653488372093,246.5051401869159,195.30965517241378
1977,898.9012406947891,222.30341685649202,190.45962877030163,227.19654377880184,261.5226635514019
1978,815.5243781094528,212.5075294117647,180.2493023255814,209.63986332574032,220.06023255813955
1979,877.2775216138328,215.73441860465115,199.97759815242495,206.06527777777777,225.29057591623038
1980,909.6172069825436,210.00372093023256,179.87459584295613,249.60091533180778,259.32645011600925
1981,925.8565217391305,236.4176886792453,199.9046403712297,240.8032183908046,263.7983796296296
1982,901.2650632911392,262.4964871194379,169.95115207373271,228.06574074074075,227.32617924528302
1983,931.887841191067,234.13348946135832,211.75842956120093,232.83310344827586,251.14023255813953
1984,920.4568578553616,231.40236406619385,211.36336405529954,226.9622988505747,234.46997690531177
1985,818.2848039215686,201.7801401869159,176.97835990888382,219.23295454545453,228.99489559164732
1986,883.229776674938,206.83805104408353,210.93364485981309,232.09187935034802,238.5847926267281
1987,820.1049261083743,190.49252336448598,177.72813953488372,218.6421052631579,216.47795823665894
1988,902.14,221.8972222222222,192.46983758700696,233.8318284424379,259.86743648960737
1989,851.9196601941748,197.96453089244852,175.90815850815852,218.42188940092166,251.1892694063927
1990,977.9259615384616,234.81981566820275,186.6095238095238,232.1787330316742,278.0693181818182
1991,908.3581683168317,236.93778801843317,198.41548974943052,234.3441588785047,249.90378250591016
1992,883.3341085271318,257.6676056338028,161.4120283018868,230.07291666666666,243.88856447688565
1993,910.7096256684492,182.5514423076923,211.4080684596577,270.9162962962963,221.3141414141414
1994,939.5444134078213,241.12,212.1730279898219,236.7462915601023,238.4374025974026
1995,954.7700296735906,235.78021390374332,176.22684210526316,237.88530183727033,287.3470108695652
1996,995.154954954955,245.41117166212535,216.6056451612903,223.57395833333334,282.80246575342466
1997,961.204923076923,257.7989100817439,219.03567567567566,229.823595505618,246.07679083094555
1998,893.2053156146179,237.91603498542273,180.58975903614459,216.0108635097493,239.91902017291068
1999,966.7940199335549,280.2376436781609,197.86149425287357,233.4891812865497,244.551775147929
2000,896.512292358804,217.9915915915916,206.22869822485208,238.24264705882354,220.43893805309733
2001,834.7275409836066,199.07696969696968,185.5938596491228,211.0562857142857,232.86512968299712
2002,825.0599315068494,210.6375,195.3047197640118,212.2122754491018,218.71459627329193
2003,866.3290102389078,195.42874617737002,207.2840625,190.6609756097561,255.20395136778114
2004,879.2010752688172,210.0722741433022,190.4796875,227.33374233128833,238.1815873015873
2005,947.7011494252873,226.23355263157896,199.7116504854369,254.39163987138264,277.9844884488449
2006,908.5441767068273,243.42162162162163,180.70415224913495,199.31423611111111,259.9814946619217
2007,1022.6904494382022,224.29712230215827,205.28492647058823,227.65350553505536,256.58395061728396
2008,1001.625730994152,285.213567839196,189.68558139534883,262.5342857142857,253.20717703349283
2009,959.1993788819876,270.27596153846156,208.08516746411485,232.48631578947368,288.1066666666667
2010,1032.3473333333334,215.59513513513514,198.73555555555555,240.30914285714286,318.6106951871658
2011,1066.9476510067113,300.1421348314607,245.28342541436464,254.17955801104972,285.0425287356322
2012,991.2848739495798,256.7760233918129,221.3814371257485,220.45748502994013,263.4355704697987
2013,1013.6815533980582,257.92028985507244,218.45602836879434,241.1465648854962,265.99133858267714
2014,1095.0012658227847,248.98629032258066,250.38198198198197,224.05462962962963,333.3939393939394
2015,1104.7557377049181,307.0051020408163,236.64074074074074,218.15694444444443,310.796
2016,1189.4041666666667,367.5178082191781,243.15,245.08333333333334,412.0790322580645
2017,1166.4155555555556,297.084126984127,341.3621212121212,190.9050847457627,363.9862068965517
