Year,Annual_AllSnow,Winter_AllSnow,Spring_AllSnow,Summer_AllSnow,Autumn_AllSnow
1840,NaN,-10,NaN,0,NaN
1841,NaN,NaN,NaN,0,NaN
1842,NaN,NaN,NaN,0,NaN
1843,NaN,NaN,NaN,0,NaN
1844,NaN,NaN,NaN,0,NaN
1845,NaN,NaN,NaN,0,NaN
1846,NaN,NaN,12,0,NaN
1847,162.2,NaN,27.4,0,1.1
1848,NaN,NaN,NaN,0,4.8
1849,139.4,144.1,13.2,0,3.3
1850,225.1,122.2,39.9,0,0.2
1851,124.2,127.8,33.6,0,22.8
1852,328.2,193,97.7,0,7.1
1853,174.1,129,28.5,0,9.6
1854,161.8,154.4,18.2,0,5.6
1855,318.4,199.9,66,0,13.5
1856,213.1,170,52.5,0,31.4
1857,239,161.8,78,0,23.4
1858,148.9,127.9,2.3,0,13.6
1859,212.1,114.5,8.3,0.4,3.7
1860,152,209.1,10.1,0,7.5
1861,243.3,207.8,47.2,0,11
1862,274.8,183.8,60.3,0,19.4
1863,204,169.8,42.2,0,1.4
1864,240.9,139.2,23.4,0,15.5
1865,205.5,188.9,67.6,0,18.3
1866,153.4,18.9,22.25,0,14.1
1867,280.1,174.875,88.175,0,6.975
1868,247.075,186.375,34.4,0,16.75
1869,296,201.925,47.63333333333333,0,73.125
1870,361.475,95.55,146.34,0,24.383333333333333
1871,240.2,115.88571428571429,35.05,0,29.67142857142857
1872,331.93333333333334,79.43846153846154,87.63333333333333,0.024999999999999998,36.330769230769235
1873,428.34444444444443,234.78125,119.60714285714286,0,86.23571428571428
1874,406.325,163.7923076923077,124.4,0,45.839999999999996
1875,458.3857142857143,298.1,100.87857142857143,0.1,64.96666666666667
1876,402.425,198.7235294117647,112.76470588235294,0,19.22105263157895
1877,315.71875,204.06842105263158,96.91904761904762,0.02857142857142857,28.213636363636365
1878,267.37,135.55238095238096,54.14545454545455,0,32.06190476190476
1879,411.365,240.4952380952381,85.7909090909091,0.013043478260869565,59.21739130434783
1880,350.70454545454544,215.78695652173914,88.73478260869565,0,63.256
1881,282.3666666666667,185.6851851851852,62.034615384615385,0.04166666666666667,46.896
1882,404.60869565217394,214.11666666666667,98.332,0,34.80833333333334
1883,330.1041666666667,179.74666666666667,94.6962962962963,0,33.2
1884,354.3875,203.96666666666667,78.08235294117647,0.32,55.168571428571425
1885,346.3742857142857,196.00833333333333,116.38571428571429,0,22.643243243243244
1886,290.7032258064516,190.5236842105263,69.46470588235294,0,36.56388888888889
1887,326.93333333333334,218.17777777777778,72.10882352941177,0.125,33.388888888888886
1888,282.01612903225805,170.8685714285714,82.03529411764706,0.2026315789473684,31.545945945945945
1889,264.3794117647059,170.0921052631579,41.857894736842105,0.002564102564102564,28.616666666666667
1890,271.4307692307692,148.9525,68.54651162790698,0.19767441860465115,22.94418604651163
1891,219.25263157894736,164.63170731707316,60.32727272727273,0.11860465116279069,23.027272727272727
1892,231.025,141.6560975609756,53.481818181818184,0.14888888888888888,34.425581395348836
1893,309.2894736842105,173.075,54.1325,0.0022222222222222222,29.852272727272727
1894,240.8,195.93170731707318,67.28260869565217,0.8479166666666668,34.81777777777778
1895,237.26904761904763,139.62708333333333,35.329787234042556,0.3666666666666667,31.84375
1896,252.08510638297872,142.6529411764706,65.82549019607843,0.0035087719298245615,34.63076923076923
1897,225.0265306122449,126.26862745098039,50.680392156862744,0.08983050847457627,37.65
1898,229.2418181818182,144.16333333333333,37.27333333333333,0.0390625,31.36393442622951
1899,217.10363636363635,134.22295081967212,66.96885245901639,0.0421875,18.525806451612905
1900,234.8642857142857,123.8923076923077,58.96153846153846,0.2972222222222222,36.92463768115942
1901,230.11147540983606,129.9857142857143,41.80735294117647,0.7830985915492957,31.372857142857143
1902,188.84126984126985,124.41857142857143,32.438235294117646,0.23116883116883116,25.32162162162162
1903,217.35573770491803,138.9890410958904,48.135211267605634,0.002777777777777778,29.78918918918919
1904,260.7760563380282,150.88,69.94177215189873,0.4617283950617284,20.093506493506492
1905,204.171875,148.36282051282052,27.663013698630138,0.3,25.68101265822785
1906,177.21969696969697,90.0054794520548,42.37662337662338,0.002325581395348837,34.4109756097561
1907,210.88115942028986,128.26829268292684,69.3525,0.0630952380952381,18.6
1908,211.98333333333332,122.75189873417722,50.266666666666666,0.35517241379310344,22.452439024390245
1909,217.23614457831326,108.51860465116279,57.43846153846154,0.06224489795918367,30.069148936170212
1910,189.08705882352942,113.19405940594059,30.417021276595744,1.0579439252336449,28.088571428571427
1911,212.75393258426965,120.473786407767,47.316346153846155,0.2735042735042735,42.73551401869159
1912,195.32765957446807,113.47545454545454,40.601834862385324,0.11206896551724138,26.488793103448277
1913,169.50530973451328,98.26492537313433,41.483870967741936,0.1539568345323741,24.21969696969697
1914,201.70787401574802,89.54466666666667,47.09370629370629,0.379746835443038,33.341830065359474
1915,145.0557142857143,77.17575757575757,21.179470198675496,0.34011627906976744,24.51812865497076
1916,234.1923566878981,135.37441860465117,61.462857142857146,0.12931937172774868,33.63989071038252
1917,244.2566037735849,131.96827956989247,54.309444444444445,0.22227979274611398,28.87403314917127
1918,213.12134146341464,162.0949720670391,50.00802139037433,0.27832512315270935,19.484736842105264
1919,198.69636363636363,110.27379679144386,46.27473684210526,0.30728155339805824,44.015
1920,208.20285714285714,120.65210526315789,52.398963730569946,0.09521531100478468,21.75929648241206
1921,192.7965317919075,110.28383838383839,42.07244897959184,0.014622641509433962,43.45
1922,192.48926553672317,109.12904761904763,41.07951219512195,0.1583710407239819,21.855924170616113
1923,203.91917098445595,132.6824644549763,71.77824074074074,0.03920704845814978,14.387387387387388
1924,199.24716981132076,113.95493562231759,50.80350877192983,0.10650406504065041,26.22738589211618
1925,178.76028708133973,122.02382978723405,38.057740585774056,0.01375,33.960669456066945
1926,213.51650485436892,107.67521367521367,52.53900414937759,0.3669387755102041,38.516666666666666
1927,198.70727272727274,117.33474576271186,36.47459677419355,0.014173228346456693,36.44326530612245
1928,160.54554455445543,118.95511111111111,51.51900826446281,0.0691699604743083,15.091304347826087
1929,204.48928571428573,97.75974576271186,45.0588,0.027924528301886794,24.507509881422926
1930,154.04955357142856,124.95476190476191,33.50588235294118,0.13488372093023257,24.778861788617885
1931,149.99473684210525,83.26693548387097,36.96953125,0.10648854961832062,17.845
1932,200.2322448979592,108.14507575757575,53.431679389312976,0.07598566308243729,39.22380952380952
1933,265.2615969581749,104.98695652173913,55.27214285714285,0.5186206896551724,57.67163120567376
1934,188.311877394636,142.59169675090251,39.99424460431655,0.1306896551724138,24.83916083916084
1935,213.79612403100776,146.05035714285714,48.5056338028169,0.15528169014084509,32.44230769230769
1936,209.39256505576208,127.68020477815699,45.28881118881119,0.13037542662116042,31.35211267605634
1937,207.68205128205128,124.40276816608997,35.94570446735395,0.1296416938110749,25.38412162162162
1938,195.7288256227758,131.96478405315614,38.05236486486486,0.11363636363636365,31.17269736842105
1939,205.76382978723404,138.2138263665595,59.72801302931596,0.32452229299363056,25.091176470588234
1940,206.92906574394465,97.96860841423948,57.277096774193545,0.2303125,43.063782051282054
1941,174.65858585858587,108.9347266881029,38.803761755485894,0.48734567901234566,27.808860759493673
1942,212.3679180887372,104.93479623824452,48.7715625,0.2,35.10156739811912
1943,198.63322368421052,138.3217791411043,62.10432098765432,0.4,20.157272727272726
1944,186.80519480519482,94.44594594594595,46.47566765578635,0.5488439306358381,25.85474006116208
1945,201.81736334405144,123.90148367952523,37.84294117647059,0.315850144092219,42.29614243323442
1946,214.809900990099,127.52988165680473,35.23476923076923,0.24434782608695652,42.78264705882353
1947,215.7554054054054,143.95619335347433,49.63753753753754,0.6689149560117302,31.28053892215569
1948,197.16447368421052,122.9887537993921,51.17712609970675,0.32253521126760565,23.323546511627907
1949,213.864263322884,131.92691218130312,42.62079772079772,0.5711111111111111,34.73960113960114
1950,226.82084690553745,143.09858757062148,54.712103746397695,1.4307471264367817,44.736647727272725
1951,247.01980198019803,123.93333333333334,54.44169096209912,1.669832402234637,48.46376404494382
1952,193.39723926380367,149.5732970027248,43.56536312849162,0.8466307277628032,22.268232044198896
1953,181.55696202531647,109.29566473988439,43.59550561797753,0.6641666666666667,19.571815718157183
1954,218.90684039087947,136.77915492957746,55.980790960451976,0.2691256830601093,22.420833333333334
1955,244.01454545454544,120.92486033519553,63.746321525885556,0.5405333333333333,48.901366120218576
1956,238.8396449704142,141.95906593406593,63.829810298102984,0.6411764705882353,34.26586666666667
1957,194.14633431085045,125.81749347258486,41.30875331564987,0.9075916230366492,34.13534031413612
1958,209.58089552238806,113.43922077922078,38.46306068601583,0.7397435897435898,42.34337662337662
1959,214.23486486486487,123.21002570694087,49.84230769230769,1.5372549019607844,51.349489795918366
1960,210.03250688705234,118.09267676767676,52.659844559585494,0.5786600496277916,30.038308457711445
1961,215.2802359882006,107.91901041666667,60.395833333333336,1.0995073891625615,40.11887755102041
1962,210.3421212121212,127.91526315789474,50.77659033078881,0.8468292682926829,29.043163538873994
1963,211.09850746268657,122.58455284552845,53.52961956521739,1.655036855036855,31.301262626262627
1964,254.8593123209169,128.765873015873,60.638743455497384,2.19126213592233,41.71047381546135
1965,244.99326424870466,165.52279411764707,41.091022443890274,1.6772300469483568,51.470379146919434
1966,229.99211822660098,134.83812949640287,50.29501187648456,1.4156908665105385,43.12665094339623
1967,250.2880487804878,141.2832946635731,64.94802784222738,2.4546910755148743,38.77032710280374
1968,224.64237288135593,120.71574074074074,45.159953161592505,1.6700460829493087,40.698383371824484
1969,210.75454545454545,152.35240274599542,40.55866050808314,2.630385487528345,36.929816513761466
1970,241.481884057971,110.34642032332563,60.34166666666667,2.0733634311512414,43.1380410022779
1971,283.23741007194246,169.0038990825688,67.84576659038902,1.41019955654102,47.486529680365294
1972,296.96812652068127,169.02476851851853,78.59680365296803,2.268988764044944,47.95668934240363
1973,202.60976744186047,131.27568181818182,40.276590909090906,2.0799097065462755,46.421973094170404
1974,249.43636363636364,136.01904761904763,68.26970387243736,2.349099099099099,44.310859728506784
1975,256.8085158150852,135.23024830699774,67.51720183486239,0.9946188340807175,43.325
1976,241.70675,148.8030023094688,50.4508120649652,2.025,39.46834862385321
1977,223.01793611793613,130.50386363636363,48.93761467889908,0.9195402298850575,37.262616822429905
1978,228.4883950617284,133.1204705882353,54.08657407407407,2.9670454545454548,40.09884259259259
1979,197.4247159090909,130.43526682134572,55.47644341801386,2.2575342465753425,27.31148825065274
1980,212.35643564356437,106.09559164733179,43.70990783410138,1.7936363636363637,39.383640552995395
1981,179.00403022670025,114.85458823529412,41.77494252873563,1.4808126410835214,32.67816091954023
1982,242.36658354114712,154.85737704918031,59.68394495412844,2.296567505720824,32.967213114754095
1983,203.9842751842752,97.07172897196261,48.83778801843318,1.670135746606335,38.0741935483871
1984,211.48808933002482,116.24539007092199,43.480593607305934,2.175799086757991,48.502522935779815
1985,226.8,129.3217289719626,51.87676537585421,2.0331828442437923,43.73623853211009
1986,212.49485294117648,124.08561484918793,52.36705336426914,2.730022573363431,47.61578947368421
1987,194.44334140435836,104.37412587412588,42.92824074074074,2.07737556561086,30.479032258064517
1988,218.56053268765132,127.4699074074074,46.06189376443418,2.027839643652561,41.188479262672814
1989,233.00432692307692,123.64118993135011,49.151162790697676,1.455681818181818,54.32938496583144
1990,239.43229665071772,137.03479262672812,43.28848758465011,1.4155756207674943,51.77687074829932
1991,217.26829268292684,123.52528735632184,49.53006833712984,2.1127314814814815,47.23255269320843
1992,225.89923664122136,126.25550351288057,45.344028103044494,2.373623853211009,40.6455421686747
1993,199.310582010582,118.42374100719425,53.34487804878049,0.9332512315270937,37.01829573934837
1994,222.80165745856354,136.3153452685422,48.2530303030303,1.0307304785894207,35.59818652849741
1995,235.45451895043732,121.06256684491979,49.416315789473686,0.7883720930232558,52.369436997319035
1996,240.50828402366864,125.35476839237057,59.0792,1.1919896640826873,52.70219178082192
1997,220.5036809815951,140.90136239782015,63.990810810810814,0.996100278551532,37.03123209169055
1998,176.54257425742574,96.08134110787172,40.02275449101796,0.4222222222222222,28.164571428571428
1999,199.40974025974026,122.71,53.72578796561604,0.99494382022471906,27.92238372093023
2000,206.10548387096773,110.82582582582583,40.48023598820059,1.1190340909090908,29.871345029239766
2001,196.4185667752443,128.44592145015105,51.726239067055396,0.8165730337078652,30.5810888252149
2002,216.69662162162163,110.65252225519288,67.2870588235294,1.1041297935103245,39.7280487804878
2003,202.10850340136054,104.56758409785932,51.18068535825545,0.7626506024096386,38.478419452887536
2004,221.625,121.1398753894081,47.604984423676015,0.9382530120481928,32.605379746835446
2005,203.9569288389513,128.59473684210528,43.99839743589744,0.4650943396226415,33.914098360655736
2006,193.31434262948207,115.88249158249158,33.171821305841924,1.0462068965517242,44.587985865724384
2007,258.1558011049724,105.11285714285714,52.57509157509158,1.0417582417582418,36.44571428571429
2008,265.60977011494253,170.51592039800994,61.085253456221196,0.6388625592417062,34.56320754716981
2009,225.11975308641976,169.43157894736842,49.427142857142854,0.821875,29.802209944751382
2010,166.23947368421054,103.22606382978724,28.345303867403313,0.7858757062146893,33.4781914893617
2011,236.954,151.54469273743015,52.685164835164834,0.8190217391304347,36.31067415730337
2012,222.64710743801652,121.75639534883722,46.74678362573099,0.6028901734104046,40.327152317880795
2013,218.83084112149533,126.51785714285714,46.74625850340136,1.6442028985507247,35.96363636363636
2014,184.0679012345679,145.3152,54.078947368421055,0.9114035087719299,38.872115384615384
2015,172.6463768115942,113.33232323232323,33.41428571428572,0.27901234567901234,18.036585365853657
2016,175.11764705882354,98.54864864864865,39.980555555555554,0.8128571428571428,19.053521126760565
2017,193.68444444444444,134.94848484848484,43.75147058823529,1.138235294117647,27.758620689655174
